time,prevBugs,linesAdded,linesRemoved,totalChurn,loc,maxstatements,maxdepth,complexity,maxlen,maxparams,maxnestedcallbacks,complexswitchcase,thisassign,complexchaining,noreassign,noextrabind,condassign,event,smelly
145,8,0,260,260,260,0,0,0,0,0,0,0,0,0,0,0,0,0,0
599,9,1,0,1,261,0,0,0,0,0,0,0,0,0,0,0,0,1,0
187,9,21,22,43,260,0,0,0,0,0,0,0,0,1,1,0,0,0,1
1739,9,20,2,22,278,0,0,0,0,0,0,0,0,1,1,0,0,0,1
4,9,213,235,448,237,0,0,0,0,0,0,0,0,0,1,0,0,0,1
543,9,2,1,3,239,0,0,0,0,0,0,0,0,0,1,0,0,0,1
191,9,13,16,29,252,0,0,0,0,0,0,0,0,0,1,0,0,0,1
29,10,3,0,3,255,0,0,0,0,0,0,0,0,0,1,0,0,1,1
1152,11,2,0,2,259,0,0,0,0,0,0,0,0,0,1,0,0,1,1
4055,12,7,8,15,258,0,0,0,0,0,0,0,0,0,1,0,0,1,1
476,12,11,9,20,260,0,0,0,0,0,0,0,0,0,1,0,0,0,1
22,12,13,13,26,260,0,0,0,0,0,0,0,0,0,1,0,0,0,1
413,12,11,23,34,248,0,0,0,0,0,0,0,0,0,1,0,0,0,1
26,12,1,1,2,248,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1,12,2,2,4,248,0,0,0,0,0,0,0,0,0,1,0,0,0,1
339,12,2,0,2,250,0,0,0,0,0,0,0,0,0,1,0,0,0,1
16,12,1,5,6,246,0,0,0,0,0,0,0,0,0,1,0,0,0,1
10,12,6,6,12,246,0,0,0,0,0,0,0,0,0,1,0,0,0,1
0,12,1,1,2,246,0,0,0,0,0,0,0,0,0,1,0,0,0,1
69,12,10,8,18,248,0,0,0,0,0,0,0,0,0,1,0,0,0,1
987,12,1,1,2,248,0,0,0,0,0,0,0,0,0,1,0,0,0,1
475,12,26,18,44,256,0,0,0,0,0,0,0,0,0,1,0,0,0,1
144,12,15,0,15,271,0,0,0,0,0,0,0,0,0,1,0,0,0,1
2,12,25,0,25,296,0,0,0,0,0,0,0,0,0,1,0,0,0,1
853,12,8,7,15,297,0,0,0,0,0,0,0,0,0,1,0,0,0,1
6,12,30,10,40,317,0,0,0,0,0,0,0,0,0,1,0,0,0,1
18,12,7,1,8,323,0,0,0,0,0,0,0,0,0,1,0,0,0,1
221,14,16,3,19,336,0,0,0,0,0,0,0,0,0,1,0,0,1,1
14,14,33,13,46,356,0,0,0,0,1,0,0,0,0,1,0,0,0,1
13,14,6,5,11,357,0,0,0,0,1,0,0,0,0,1,0,0,0,1
12,14,1,2,3,356,0,0,0,0,1,0,0,0,0,1,0,0,0,1
283,14,35,36,71,355,0,0,0,0,1,0,0,0,0,1,0,0,0,1
23,14,2,2,4,355,0,0,0,0,1,0,0,0,0,1,0,0,0,1
68,14,3,3,6,355,0,0,0,0,1,0,0,0,0,1,0,0,0,1
2,14,22,22,44,355,0,0,0,0,1,0,0,0,0,1,0,0,0,1
72,14,6,2,8,359,0,0,0,0,1,0,0,0,0,1,0,0,0,1
91,15,21,3,24,377,0,0,0,0,1,0,0,0,0,1,0,0,1,1
617,15,4,1,5,380,0,0,0,0,1,0,0,0,0,1,0,0,0,1
278,16,5,4,9,378,0,0,0,0,1,0,0,0,0,1,0,0,1,1
7321,17,7,2,9,386,0,0,0,0,0,0,0,0,0,1,0,0,1,1
15,17,1,1,2,386,0,0,0,0,1,0,0,0,0,1,0,0,0,1
4312,17,41,39,80,388,0,0,0,0,1,0,0,0,0,1,0,0,0,1
544,17,24,0,24,412,0,0,0,0,1,0,0,0,0,1,0,0,0,1
20,17,8,0,8,420,0,0,0,0,1,0,0,0,0,1,0,0,0,1
1623,17,6,6,12,420,0,0,0,0,1,0,0,0,0,1,0,0,0,1
1940,17,11,5,16,426,0,0,0,0,1,0,0,0,1,1,0,0,0,1
17,17,1,1,2,426,0,0,0,0,1,0,0,0,1,1,0,0,0,1
3602,17,6,6,12,426,0,0,0,0,1,0,0,0,1,1,0,0,0,1
3119,17,1,0,1,427,0,0,0,0,1,0,0,0,1,1,0,0,0,1
31,18,19,0,19,446,0,0,0,0,1,0,0,0,1,1,0,0,1,1
5990,19,1,1,2,446,0,0,0,0,0,0,0,0,1,1,0,0,1,1
28,21,1,1,2,446,0,0,0,0,0,0,0,0,1,1,0,0,1,1
103,24,1,1,2,446,0,0,0,0,1,0,0,0,0,1,0,0,1,1
68,25,63,63,126,446,0,0,0,0,1,0,0,0,1,1,0,0,1,1
133,26,1,1,2,446,0,0,0,0,0,0,0,0,0,1,0,0,1,1
923,27,26,12,38,460,0,0,0,0,1,0,0,0,1,1,0,0,1,1
0,0,8,0,8,8,0,0,0,0,0,0,0,0,0,1,0,0,0,1
165,0,0,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,20,0,20,20,0,0,0,0,0,0,0,0,0,1,0,0,0,1
4,0,1,1,2,20,0,0,0,0,0,0,0,0,0,1,0,0,0,1
0,0,4,0,4,24,0,0,0,0,0,0,0,0,0,1,0,0,0,1
95,0,1,1,2,24,0,0,0,0,0,0,0,0,0,1,0,0,0,1
23,0,2,1,3,25,0,0,0,0,0,0,0,0,0,1,0,0,0,1
154,0,0,14,14,11,0,0,0,0,0,0,0,0,0,1,0,0,0,1
237,0,0,10,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,0,6,0,6,17,0,0,0,0,0,0,0,0,0,1,0,1,0,1
140,0,1,1,2,8,0,0,0,0,0,0,0,0,0,1,0,1,0,1
1796,0,1,3,4,6,0,0,0,0,0,0,0,0,0,1,0,1,0,1
8066,0,7,0,7,13,0,0,0,0,0,0,0,0,0,1,0,1,0,1
4283,0,2,2,4,13,0,0,0,0,0,0,0,0,0,1,0,1,0,1
1254,0,6,2,8,17,0,0,0,0,0,0,0,0,0,1,0,1,0,1
6231,0,26,0,26,43,0,0,0,0,0,0,0,0,0,1,0,1,0,1
1350,0,3,1,4,45,0,0,0,0,0,0,0,0,0,1,0,1,0,1
2634,0,1,1,2,45,0,0,0,0,0,0,0,0,0,1,0,1,0,1
3041,0,8,3,11,50,0,0,0,0,0,0,0,0,0,1,0,1,0,1
67,0,11,0,11,56,0,0,0,0,0,0,0,0,0,1,0,1,0,1
96,0,2,2,4,56,0,0,0,0,0,0,0,0,0,1,0,1,0,1
57,0,14,0,14,75,0,0,0,0,0,0,0,0,0,1,0,1,0,1
341,0,35,5,40,75,0,0,0,0,0,0,0,0,0,1,0,1,0,1
917,1,4,1,5,78,0,0,0,0,0,0,0,0,0,1,0,1,1,1
1239,2,27,9,36,96,0,0,0,0,0,0,0,0,0,1,0,1,1,1
1144,2,2,1,3,97,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1123,3,1,1,2,97,0,0,0,0,0,0,0,0,0,1,0,0,1,1
555,3,43,2,45,137,0,0,0,0,0,0,0,0,0,1,0,0,0,1
133,3,1,1,2,137,0,0,0,0,0,0,0,0,0,1,0,0,0,1
8,3,3,3,6,138,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1803,3,40,0,40,137,0,0,0,0,0,0,0,0,0,1,0,0,0,1
777,4,2,2,4,97,0,0,0,0,0,0,0,0,0,1,0,0,1,1
1423,4,9,3,12,144,0,0,0,0,0,0,0,0,0,1,0,0,0,1
197,4,37,141,178,40,0,0,0,0,0,0,0,0,0,1,0,0,0,1
0,4,0,40,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,25,0,25,25,0,0,0,0,0,0,0,0,0,1,0,0,0,1
0,0,5,2,7,28,0,0,0,0,0,0,0,0,0,1,0,0,0,1
2,0,18,1,19,45,0,0,0,0,0,0,0,0,0,1,0,0,0,1
270,0,1,1,2,45,0,0,0,0,0,0,0,0,0,1,0,0,0,1
975,0,3,0,3,48,0,0,0,0,0,0,0,0,0,1,0,0,0,1
18,0,9,4,13,53,0,0,0,0,0,0,0,0,0,1,0,0,0,1
0,0,35,0,35,88,0,0,0,0,0,0,0,0,0,1,0,0,0,1
168,0,10,0,10,98,0,0,0,0,0,0,0,0,0,1,0,0,0,1
318,0,2,1,3,99,0,0,0,0,0,0,0,0,0,1,0,0,0,1
790,0,3,1,4,101,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1,0,24,6,30,119,0,0,0,0,0,0,0,0,0,1,0,0,0,1
90,0,9,5,14,123,0,0,0,0,0,0,0,0,0,1,0,0,0,1
455,0,1,1,2,123,0,0,0,0,0,0,0,0,0,1,0,0,0,1
411,0,2,2,4,123,0,0,0,0,0,0,0,0,0,1,0,0,0,1
2808,0,14,0,14,137,0,0,0,0,0,0,0,0,0,1,0,0,0,1
170,0,16,0,16,153,0,0,0,0,0,0,0,0,0,1,0,0,0,1
39,0,4,0,4,157,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1882,0,12,0,12,169,0,0,0,0,0,0,0,0,0,1,0,0,0,1
839,1,4,2,6,174,0,0,0,0,0,0,0,0,0,1,0,0,1,1
204,1,7,0,7,164,0,0,0,0,0,0,0,0,0,1,0,0,0,1
0,1,1,1,2,164,0,0,0,0,0,0,0,0,0,1,0,0,0,1
653,1,3,0,3,172,0,0,0,1,0,0,0,0,1,1,0,0,0,1
2389,1,4,0,4,178,0,0,0,1,0,0,0,0,1,1,0,0,0,1
1842,1,5,0,5,427,0,0,0,1,0,0,0,0,1,1,0,0,0,1
567,1,1,1,2,185,0,0,0,1,0,0,0,0,1,1,0,0,0,1
292,1,24,0,24,255,0,0,0,1,0,0,0,0,1,1,0,0,0,1
381,1,12,3,15,194,0,0,0,1,0,0,0,0,1,1,0,0,0,1
109,1,3,0,3,197,0,0,0,1,0,0,0,0,1,1,0,0,0,1
86,1,7,0,7,204,0,0,0,1,0,0,0,0,1,1,0,0,0,1
0,1,2,5,7,201,0,0,0,1,0,0,0,0,1,1,0,0,0,1
385,1,15,0,15,216,0,0,0,1,0,0,0,0,1,1,0,0,0,1
0,1,12,0,12,228,0,0,0,1,0,0,0,0,1,1,0,0,0,1
79,1,8,8,16,228,0,0,0,1,0,0,0,0,1,1,0,0,0,1
433,1,12,0,12,276,0,0,0,1,0,0,0,0,1,1,0,0,0,1
4,1,48,0,48,324,0,0,0,1,0,0,0,0,1,1,0,0,0,1
253,1,9,2,11,331,0,0,0,1,0,0,0,0,1,1,0,0,0,1
839,1,4,4,8,377,0,0,0,1,0,0,0,0,1,1,0,0,0,1
1133,1,3,0,3,231,0,0,0,1,0,0,0,0,1,1,0,0,0,1
298,1,9,0,9,264,0,0,0,1,0,0,0,0,1,1,0,0,0,1
2546,1,30,0,30,367,0,0,0,1,0,0,0,0,1,1,0,0,0,1
0,1,6,6,12,367,0,0,0,1,0,0,0,0,1,1,0,0,0,1
1,1,1,1,2,367,0,0,0,1,0,0,0,0,1,1,0,0,0,1
485,1,6,0,6,337,0,0,0,1,0,0,0,0,1,1,0,0,0,1
1816,2,3,0,3,370,0,0,0,1,0,0,0,0,1,1,0,0,1,1
56,3,9,1,10,378,0,0,0,1,0,0,0,0,1,1,0,0,1,1
292,4,5,11,16,372,0,0,0,1,0,0,0,0,1,1,0,0,1,1
276,5,14,0,14,394,0,0,0,1,0,0,0,0,1,1,0,0,1,1
131,5,6,2,8,398,0,0,0,1,0,0,0,0,1,1,0,0,0,1
1,5,23,7,30,414,0,0,0,1,0,0,0,0,1,1,0,0,0,1
35,6,5,0,5,377,0,0,0,1,0,0,0,0,1,1,0,0,1,1
67,6,3,0,3,380,0,0,0,1,0,0,0,0,1,1,0,0,0,1
17,6,1,1,2,377,0,0,0,1,0,0,0,0,1,1,0,0,0,1
47,6,2,1,3,415,0,0,0,1,0,0,0,0,1,1,0,0,0,1
0,7,8,1,9,422,0,0,0,1,0,0,0,0,1,1,0,0,1,1
38,7,0,5,5,422,0,0,0,1,0,0,0,0,1,1,0,0,0,1
2,9,26,10,36,438,0,0,0,0,0,0,0,0,0,1,0,0,1,1
59,9,5,0,5,443,0,0,0,1,0,0,0,0,1,1,0,0,0,1
0,10,1,1,2,453,0,0,0,1,0,0,0,0,1,1,0,0,1,1
2,10,10,0,10,453,0,0,0,1,0,0,0,0,1,1,0,0,0,1
69,10,35,1,36,499,0,0,0,1,0,0,0,0,1,1,0,0,0,1
264,11,1,1,2,453,0,0,0,1,0,0,0,0,1,1,0,0,1,1
1,12,9,0,9,462,0,0,0,1,0,0,0,0,1,1,0,0,1,1
8,12,8,5,13,456,0,0,0,1,0,0,0,0,1,1,0,0,0,1
590,13,19,10,29,508,0,0,0,1,0,0,0,0,1,1,0,0,1,1
15,13,4,4,8,508,0,0,0,1,0,0,0,0,1,1,0,0,0,1
38,13,18,0,18,526,0,0,0,1,0,0,0,0,1,1,0,0,0,1
17,13,5,3,8,528,0,0,0,1,0,0,0,0,1,1,0,0,0,1
4,13,1,1,2,528,0,0,0,1,0,0,0,0,1,1,0,0,0,1
164,13,5,5,10,528,0,0,0,1,0,0,0,0,1,1,0,0,0,1
66,13,10,9,19,529,0,0,0,1,0,0,0,0,1,1,0,0,0,1
163,13,1,1,2,529,0,0,0,1,0,0,0,0,1,1,0,0,0,1
1259,14,6,3,9,532,0,0,0,1,0,0,0,0,1,1,0,0,1,1
23,15,5,0,5,537,0,0,0,1,0,0,0,0,1,1,0,0,1,1
1069,15,35,0,35,572,0,0,0,1,0,0,0,0,1,1,0,0,0,1
17,15,23,16,39,579,0,0,0,1,0,0,0,0,1,1,0,0,0,1
140,15,22,21,43,580,0,0,0,1,0,0,0,0,1,1,0,0,0,1
160,16,77,0,77,657,0,0,0,1,0,0,0,0,1,1,0,0,1,1
277,16,10,7,17,660,0,0,0,1,0,0,0,0,1,1,0,0,0,1
38,16,1,2,3,656,0,0,0,1,0,0,0,0,1,1,0,0,0,1
15,16,3,2,5,657,0,0,0,1,0,0,0,0,1,1,0,0,0,1
507,16,14,11,25,660,0,0,0,1,0,0,0,0,1,1,0,0,0,1
540,16,7,0,7,539,0,0,0,1,0,0,0,0,1,1,0,0,0,1
0,16,7,0,7,539,0,0,0,1,0,0,0,0,1,1,0,0,0,1
205,17,8,8,16,660,0,0,0,1,0,0,0,0,1,1,0,0,1,1
367,18,10,1,11,669,0,0,0,1,0,0,0,0,1,1,0,0,1,1
34,19,3,0,3,672,0,0,0,1,0,0,0,0,1,1,0,0,1,1
12,20,0,3,3,669,0,0,0,1,0,0,0,0,1,1,0,0,1,1
349,22,10,3,13,676,0,0,0,1,0,0,0,0,1,1,0,0,1,1
410,22,6,0,6,692,0,0,0,1,0,0,0,0,1,1,0,0,0,1
171,22,1,1,2,660,0,0,0,1,0,0,0,0,1,1,0,0,0,1
369,22,8,4,12,680,0,0,0,1,0,0,0,0,1,1,0,0,0,1
24,22,3,7,10,676,0,0,0,1,0,0,0,0,1,1,0,0,0,1
66,22,1,2,3,675,0,0,0,1,0,0,0,0,1,1,0,0,0,1
321,23,1,1,2,676,0,0,0,1,0,0,0,0,1,1,0,0,1,1
20,23,79,60,139,695,0,0,0,1,0,0,0,0,1,1,0,0,0,1
50,23,2,1,3,696,0,0,0,1,0,0,0,0,1,1,0,0,0,1
27,23,0,1,1,695,0,0,0,1,0,0,0,0,1,1,0,0,0,1
22,23,0,1,1,691,0,0,0,1,0,0,0,0,1,1,0,0,0,1
88,23,3,10,13,688,0,0,0,1,0,0,0,0,1,1,0,0,0,1
225,23,0,2,2,686,0,0,0,1,0,0,0,0,1,1,0,0,0,1
9,24,1,1,2,686,0,0,0,1,0,0,0,0,1,1,0,0,1,1
126,24,67,34,101,725,0,0,0,1,0,0,0,0,1,1,0,0,0,1
273,25,1,1,2,724,0,0,0,1,0,0,0,0,1,1,0,0,1,1
60,26,1,1,2,724,0,0,0,1,0,0,0,0,1,1,0,0,1,1
126,26,28,6,34,746,0,0,1,1,0,0,0,0,1,1,0,0,0,1
3,26,6,2,8,728,0,0,0,1,0,0,0,0,1,1,0,0,0,1
16,26,3,20,23,729,0,0,0,1,0,0,0,0,1,1,0,0,0,1
0,26,1,1,2,729,0,0,0,1,0,0,0,0,1,1,0,0,0,1
0,26,1,1,2,729,0,0,0,1,0,0,0,0,1,1,0,0,0,1
17,26,3,0,3,732,0,0,0,1,0,0,0,0,1,1,0,0,0,1
32,26,3,0,3,735,0,0,0,1,0,0,0,0,1,1,0,0,0,1
47,26,7,7,14,735,0,0,0,1,0,0,0,0,1,1,0,0,0,1
1,26,1,4,5,732,0,0,0,1,0,0,0,0,1,1,0,0,0,1
65,26,10,0,10,738,0,0,0,1,0,0,0,0,1,1,0,0,0,1
126,26,13,15,28,735,0,0,0,1,0,0,0,0,1,1,0,0,0,1
355,26,4,4,8,744,0,0,0,1,0,0,0,0,1,1,0,0,0,1
0,26,2,2,4,744,0,0,0,1,0,0,0,0,1,1,0,0,0,1
109,26,1,1,2,745,0,0,0,1,0,0,0,0,1,1,0,0,0,1
158,26,1,2,3,751,0,0,0,1,0,0,0,0,1,1,0,0,0,1
4,26,9,9,18,751,0,0,0,1,0,0,0,0,1,1,0,0,0,1
122,28,10,1,11,760,0,0,0,1,0,0,0,0,1,1,0,0,1,1
28,28,14,11,25,761,0,0,0,1,0,0,0,0,1,1,0,0,0,1
0,28,1,1,2,761,0,0,0,1,0,0,0,0,1,1,0,0,0,1
0,28,7,43,50,725,0,0,0,1,0,0,0,0,1,1,0,0,0,1
58,28,8,0,8,759,0,0,0,1,0,0,0,0,1,1,0,0,0,1
58,28,20,20,40,768,0,0,0,1,0,0,0,0,1,1,0,0,0,1
24,28,5,5,10,733,0,0,0,1,0,0,0,0,1,1,0,0,0,1
778,28,2,7,9,763,0,0,0,1,0,0,0,0,1,1,0,0,0,1
770,28,22,21,43,764,0,0,0,1,0,0,0,0,1,1,0,0,0,1
121,28,1,1,2,764,0,0,0,1,0,0,0,0,1,1,0,0,0,1
155,28,1,1,2,764,0,0,0,1,0,0,0,0,1,1,0,0,0,1
793,28,8,8,16,764,0,0,0,1,0,0,0,0,1,1,0,0,0,1
1073,28,8,1,9,771,0,0,0,1,0,0,0,0,1,1,0,0,0,1
0,28,8,1,9,771,0,0,0,1,0,0,0,0,1,1,0,0,0,1
313,28,0,736,736,736,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,6,0,6,6,0,0,0,0,0,0,0,0,0,1,0,1,0,1
556,0,0,6,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,8,0,8,8,0,0,0,0,0,0,0,0,0,1,0,0,0,1
50,0,1,1,2,8,0,0,0,0,0,0,0,0,0,1,0,0,0,1
0,0,1,1,2,8,0,0,0,0,0,0,0,0,0,1,0,0,0,1
38,0,4,2,6,10,0,0,0,0,0,0,0,0,0,1,0,0,0,1
70,0,1,1,2,10,0,0,0,0,0,0,0,0,0,1,0,0,0,1
29,0,0,0,0,10,0,0,0,0,0,0,0,0,0,1,0,0,0,1
176,0,1,1,2,10,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1339,0,3,2,5,11,0,0,0,0,0,0,0,0,0,1,0,0,0,1
931,0,3,1,4,13,0,0,0,0,0,0,0,0,0,1,0,0,0,1
79,0,1,1,2,13,0,0,0,0,0,0,0,0,0,1,0,0,0,1
44,0,2,1,3,14,0,0,0,0,0,0,0,0,0,1,0,0,0,1
8180,0,4,1,5,17,0,0,0,0,0,0,0,0,0,1,0,0,0,1
4046,0,1,1,2,17,0,0,0,0,0,0,0,0,0,1,0,0,0,1
11214,0,7,3,10,21,0,0,0,0,0,0,0,0,0,1,0,0,0,1
3195,0,1,1,2,21,0,0,0,0,0,0,0,0,0,1,0,0,0,1
169,0,13,5,18,29,0,0,0,0,0,0,0,0,0,1,0,0,0,1
494,0,13,5,18,29,0,0,0,0,0,0,0,0,0,1,0,0,0,1
4979,0,6,6,12,29,0,0,0,0,0,0,0,0,0,1,0,0,0,1
4340,0,21,22,43,28,0,0,0,0,0,0,0,0,0,1,0,0,0,1
343,0,1,1,2,28,0,0,0,0,0,0,0,0,0,1,0,0,0,1
666,0,4,4,8,28,0,0,0,0,0,0,0,0,0,1,0,0,0,1
23420,0,0,28,28,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,2,1,3,6,0,0,0,0,0,0,0,0,0,1,0,0,0,1
4,0,5,0,5,11,0,0,0,0,0,0,0,0,0,1,0,0,0,1
0,0,1,1,2,11,0,0,0,0,0,0,0,0,0,1,0,0,0,1
2,0,2,1,3,12,0,0,0,0,0,0,0,0,0,1,0,0,0,1
