time,prevBugs,linesAdded,linesRemoved,totalChurn,loc,maxstatements,maxdepth,complexity,maxlen,maxparams,maxnestedcallbacks,complexswitchcase,thisassign,complexchaining,noreassign,noextrabind,condassign,event,smelly
10507,0,0,1253,1253,1253,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,1253,0,1253,1253,0,0,1,0,0,0,1,1,0,1,0,0,0,1
273,0,16,16,32,1253,0,0,1,0,0,0,1,1,0,1,0,0,0,1
10220,0,0,1253,1253,1253,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,9597,0,9597,9597,0,1,1,1,0,1,0,1,1,1,0,0,0,1
8999,0,0,9597,9597,9597,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,5339,0,5339,5339,0,0,1,1,0,1,0,1,1,1,0,1,0,1
9939,0,14,14,28,5339,0,0,1,1,0,1,0,1,1,1,0,1,0,1
568,0,0,5339,5339,5339,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,5339,0,5339,5339,0,0,1,1,0,1,0,1,1,1,0,1,0,1
273,0,30,30,60,5339,0,0,1,1,0,1,0,1,1,1,0,1,0,1
10220,0,0,5339,5339,5339,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,591,0,591,591,0,0,1,0,0,0,0,0,0,1,0,0,0,1
8999,0,0,591,591,591,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,702,0,702,702,0,0,0,1,0,1,0,0,0,1,0,0,0,1
4,0,29,4,33,727,0,0,0,1,0,1,0,0,0,1,0,0,0,1
17,0,30,28,58,729,0,0,0,1,0,1,0,0,0,1,0,0,0,1
0,0,8,13,21,724,0,0,0,1,0,1,0,0,0,1,0,0,0,1
0,0,5,5,10,724,0,0,0,1,0,1,0,0,0,1,0,0,0,1
25,0,1,1,2,724,0,0,0,1,0,1,0,0,0,1,0,0,0,1
1,0,90,81,171,733,0,0,0,1,0,1,0,0,0,1,0,0,0,1
6,0,66,8,74,791,0,0,0,1,0,1,0,0,1,1,0,0,0,1
10,0,18,14,32,795,0,0,0,1,0,1,0,0,1,1,0,0,0,1
6,0,2,3,5,794,0,0,0,1,0,1,0,0,1,1,0,0,0,1
2,0,13,2,15,805,0,0,0,1,0,1,0,0,0,1,0,0,0,1
4,0,53,40,93,818,0,0,0,1,0,1,0,0,0,1,0,0,0,1
11,0,3,3,6,818,0,0,0,1,0,1,0,0,0,1,0,0,0,1
2,0,9,1,10,826,0,0,0,1,0,1,0,0,0,1,0,0,0,1
6,0,4,0,4,822,0,0,0,1,0,1,0,0,0,1,0,0,0,1
29,0,15,1,16,844,0,0,0,1,0,1,0,0,0,1,0,0,0,1
11,0,8,1,9,851,0,0,0,1,0,1,0,0,0,1,0,0,0,1
2,0,10,5,15,856,0,0,0,1,0,1,0,0,0,1,0,0,0,1
2,0,7,8,15,855,0,0,0,1,0,1,0,0,0,1,0,0,0,1
7,0,5,1,6,859,0,0,0,1,0,1,0,0,0,1,0,0,0,1
19,0,1,1,2,855,0,0,0,1,0,1,0,0,0,1,0,0,0,1
80,0,3,8,11,854,0,0,0,1,0,1,0,0,0,1,0,0,0,1
10,0,4,4,8,854,0,0,0,1,0,1,0,0,0,1,0,0,0,1
11,0,22,12,34,864,0,0,0,1,0,1,0,0,0,1,0,0,0,1
26,0,11,0,11,875,0,0,0,1,0,1,0,0,0,1,0,0,0,1
13,0,0,11,11,864,0,0,0,1,0,1,0,0,0,1,0,0,0,1
12,0,10,0,10,874,0,0,0,1,0,1,0,0,0,1,0,0,0,1
13,0,3,3,6,874,0,0,0,1,0,1,0,0,0,1,0,0,0,1
5,0,14,3,17,885,0,0,0,1,0,1,0,0,0,1,0,0,0,1
22,0,7,2,9,890,0,0,0,1,0,1,0,0,0,1,0,0,0,1
7,0,1,9,10,882,0,0,0,1,0,1,0,0,0,1,0,0,0,1
24,0,1,1,2,882,0,0,0,1,0,1,0,0,0,1,0,0,0,1
0,0,3,3,6,882,0,0,0,1,0,1,0,0,0,1,0,0,0,1
72,0,25,0,25,907,0,0,0,1,0,1,0,0,0,1,0,0,0,1
2,0,50,2,52,955,0,0,0,1,0,1,0,0,0,1,0,0,0,1
9,0,19,17,36,957,0,0,0,1,0,1,0,0,0,1,0,0,0,1
9,0,38,37,75,958,0,0,0,1,0,1,0,0,0,1,0,0,0,1
1,0,11,11,22,958,0,0,0,1,0,1,0,0,0,1,0,0,0,1
3,0,101,62,163,997,0,0,0,1,0,1,0,1,0,1,0,0,0,1
10,0,7,7,14,997,0,0,0,1,0,1,0,1,0,1,0,0,0,1
2,0,14,11,25,1000,0,0,0,1,0,1,0,1,0,1,0,0,0,1
10,0,9,9,18,1000,0,0,0,1,0,1,0,1,0,1,0,0,0,1
41,0,32,32,64,1000,0,0,0,1,0,1,0,1,0,1,0,0,0,1
78,0,59,7,66,1052,0,0,0,1,0,1,0,1,0,1,0,0,0,1
6,0,6,4,10,1054,0,0,0,1,0,1,0,1,0,1,0,0,0,1
0,0,1,1,2,1054,0,0,0,1,0,1,0,1,0,1,0,0,0,1
593,0,25,10,35,1069,0,0,0,1,0,1,0,1,0,1,0,0,0,1
52,0,1,12,13,1058,0,0,0,1,0,1,0,1,0,1,0,0,0,1
22,0,4,2,6,1060,0,0,0,1,0,1,0,1,0,1,0,0,0,1
118,0,2,3,5,1059,0,0,0,1,0,1,0,1,0,1,0,0,0,1
28,0,7,1,8,1065,0,0,0,1,0,1,0,1,0,1,0,0,0,1
24,0,6,3,9,1068,0,0,0,1,0,1,0,1,0,1,0,0,0,1
141,0,15,0,15,1083,0,0,0,1,0,1,0,1,0,1,0,0,0,1
30,0,5,1,6,1087,0,0,0,1,0,1,0,1,0,1,0,0,0,1
115,0,49,19,68,1117,0,0,0,1,0,1,0,1,0,1,0,0,0,1
2,0,7,0,7,1124,0,0,0,1,0,1,0,1,0,1,0,0,0,1
26,0,33,7,40,1150,0,0,0,1,0,1,0,1,0,1,0,0,0,1
48,0,7,6,13,1151,0,0,0,1,0,1,0,1,0,1,0,0,0,1
0,0,13,1,14,1163,0,0,0,1,0,1,0,1,0,1,0,0,0,1
69,0,66,49,115,1180,0,0,0,1,0,1,0,1,0,1,0,0,0,1
664,0,20,0,20,1200,0,0,0,1,0,1,0,1,0,1,0,0,0,1
35,0,3,3,6,1200,0,0,0,1,0,1,0,1,0,1,0,0,0,1
143,0,10,0,10,1210,0,0,0,1,0,1,0,1,0,1,0,0,0,1
62,0,10,2,12,1218,0,0,0,1,0,1,0,1,0,1,0,0,0,1
1203,0,40,2,42,1218,0,0,0,1,0,1,0,1,0,1,0,0,0,1
171,0,15,0,15,1233,0,0,0,1,0,1,0,1,0,1,0,0,0,1
44,0,1,1,2,1233,0,0,0,1,0,1,0,1,0,1,0,0,0,1
