time,prevBugs,linesAdded,linesRemoved,totalChurn,loc,maxstatements,maxdepth,complexity,maxlen,maxparams,maxnestedcallbacks,complexswitchcase,thisassign,complexchaining,noreassign,noextrabind,condassign,event,smelly
1,5,5,20,25,79,0,0,0,0,0,0,0,0,0,1,0,0,0,1
0,5,1,1,2,79,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1,5,16,14,30,81,0,0,0,0,0,0,0,0,0,1,0,0,0,1
91,6,6,6,12,81,0,0,0,0,0,0,0,0,0,1,0,0,1,1
1,6,15,21,36,75,0,0,0,0,0,0,0,0,0,1,0,0,0,1
0,6,1,4,5,72,0,0,0,0,0,0,0,0,0,1,0,0,0,1
569,6,0,92,92,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,6,22,2,24,92,0,0,0,0,0,0,0,0,0,1,0,0,0,1
0,0,22,0,22,21,0,0,0,0,0,0,0,0,0,1,0,0,0,1
94,0,1,1,2,21,0,0,0,0,0,0,0,0,0,1,0,0,0,1
0,0,1,1,2,21,0,0,0,0,0,0,0,0,0,1,0,0,0,1
19,0,2,2,4,22,0,0,0,0,0,0,0,0,0,1,0,0,0,1
4,0,1,1,2,22,0,0,0,0,0,0,0,0,0,1,0,0,0,1
214,0,1,1,2,22,0,0,0,0,0,0,0,0,0,1,0,0,0,1
130,0,0,22,22,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,134,0,134,133,0,0,0,0,0,0,0,0,0,1,0,0,0,1
0,0,1,2,3,132,0,0,0,0,0,0,0,0,0,1,0,0,0,1
0,0,9,9,18,133,0,0,0,0,0,0,0,0,0,1,0,0,0,1
0,0,1,1,2,132,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1,0,5,5,10,133,0,0,0,0,0,0,0,0,0,1,0,0,0,1
91,1,15,29,44,119,0,0,0,0,0,0,0,0,0,1,0,0,1,1
0,1,6,12,18,113,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1,1,22,25,47,110,0,0,0,0,0,0,0,0,0,1,0,0,0,1
0,1,1,4,5,107,0,0,0,0,0,0,0,0,0,1,0,0,0,1
2,1,7,4,11,110,0,0,0,0,0,0,0,0,0,1,0,0,0,1
3,1,2,2,4,110,0,0,0,0,0,0,0,0,0,1,0,0,0,1
362,1,26,18,44,118,0,0,0,0,0,0,0,0,0,1,0,0,0,1
